file,kernel,rep,metric,value,unit
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Conv insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Mem insns (thr),"8,554,320",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,HFMA,"1,152,900",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,HMUL,"230,580",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,HADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,FFMA,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,FMUL,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,FADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DFMA,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DMUL,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DRAM total,1.47,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DRAM rd,1.47,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DRAM wr,0,byte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 hit bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 miss bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 hit sectors,"170,588",sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 miss sectors,"71,789",sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L1 hit bytes,15.09,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L1 miss bytes,5.47,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 global ld bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 global st bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Comp thru [%],26.85,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Mem thru,251.69,Gbyte/s
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,DRAM thru [%],6.31,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Duration,5.82,us
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L2 hit [%],64.99,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,L1 hit [%],73.40,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Mem Busy [%],25.53,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,SM Busy [%],45.54,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Regs/thr,32,register/thread
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Shmem static,0,byte/block
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Shmem dynamic,0,byte/block
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Occ [%],70.78,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Theo Occ [%],100,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Block Size,256,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Grid Size,990,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Waves/SM,0.94,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Warps active,"29,548,768",warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Warps/cyc active,45.30,warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Warps launched,"7,920",warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Act Thr/Warp,31.67,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Warp Cyc/Inst,25.61,cycle
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Elig Warps/Sched,2.96,warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,No Eligible [%],53.43,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Coal ld [%],46.00,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Coal st [%],99.46,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Sec/req ld,3.59,sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_16_2_6,0,Sec/req st,1.99,sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Exec insns,"1,958,400",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Total insns,"1,958,400",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Global ld insns,"187,200",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Global st insns,"14,400",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Shared ld insns,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Shared st insns,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Int insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,FP16 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,FP32 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,FP64 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Conv insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Mem insns (thr),"16,128,000",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,HFMA,"921,600",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,HMUL,"921,600",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,HADD,"460,800",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,FFMA,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,FMUL,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,FADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,DFMA,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,DMUL,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,DADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,DRAM total,2.97,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,DRAM rd,2.97,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,DRAM wr,0,byte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,L2 hit bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,L2 miss bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,L2 hit sectors,"231,819",sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,L2 miss sectors,"145,234",sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,L1 hit bytes,7.14,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,L1 miss bytes,8.25,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,L2 global ld bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,L2 global st bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Comp thru [%],51.87,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Mem thru,436.24,Gbyte/s
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,DRAM thru [%],10.89,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Duration,6.82,us
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,L2 hit [%],63.54,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,L1 hit [%],46.38,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Mem Busy [%],20.00,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,SM Busy [%],54.28,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Regs/thr,32,register/thread
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Shmem static,0,byte/block
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Shmem dynamic,0,byte/block
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Occ [%],76.31,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Theo Occ [%],100,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Block Size,256,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Grid Size,"1,800",
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Waves/SM,1.70,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Warps active,"45,368,532",warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Warps/cyc active,48.84,warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Warps launched,"14,400",warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Act Thr/Warp,32,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Warp Cyc/Inst,23.27,cycle
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Elig Warps/Sched,2.83,warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,No Eligible [%],47.69,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Coal ld [%],72.65,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Coal st [%],100,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Sec/req ld,2.40,sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11,0,Sec/req st,2.00,sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Exec insns,"979,200",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Total insns,"979,200",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Global ld insns,"93,600",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Global st insns,"7,200",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Shared ld insns,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Shared st insns,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Int insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,FP16 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,FP32 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,FP64 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Conv insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Mem insns (thr),"8,064,000",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,HFMA,"460,800",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,HMUL,"460,800",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,HADD,"230,400",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,FFMA,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,FMUL,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,FADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,DFMA,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,DMUL,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,DADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,DRAM total,1.56,Mbyte
